[0624/010549.101:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0624/035450.044:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/035455.058:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/035605.690:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/035610.718:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/035615.742:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/035620.758:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/035625.779:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/035630.797:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/035635.819:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/035640.843:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/035645.880:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/035650.900:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/035655.927:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/035700.950:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0624/171758.267:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
